,info,sold_at,status,limit_price,nr
0,Mehrfamilienhaus mit großzügigem Nebengelass Liebknechtstraße 31 06712 Zeitz,"184.000,00",Verkauft,"149.000,00",S21-04-001
1,Mehrfamilienhaus aufgeteilt in Eigentumswohnungen Donaliesstraße 14 06712 Zeitz,"175.000,00",Verkauft,"175.000,00",S21-04-002
2,attraktives Mehrfamilienhaus Vater-Jahn-Straße 10 06712 Zeitz,"270.000,00",Verkauft,"198.000,00",S21-04-003
3,Einfamilienhaus mit Nebengebäude Zettweiler Dorfstraße 26 06712 Zeitz,"25.000,00",Verkauft,"9.000,00",S21-04-004
4,Wohnhaus im Weinbaugebiet Saale-Unstrut Weinbergsweg 51 06636 Laucha an der Unstrut,"53.000,00",Verkauft,"9.000,00",S21-04-005
5,verm. Eigentumswohnung in schöner Wohnlage Friedrich-Engels-Straße 2 06246 Goethestadt Bad Lauchstädt,"35.000,00",Verkauft,"29.000,00",S21-04-006
6,2 Wohnhäuser mit Nebengebäude Am Glockenstuhl 23 06268 Querfurt,"15.500,00",Verkauft,"5.000,00",S21-04-007
7,renditestarkes Bürogebäude Grenzstraße 28 06112 Halle,"1.500.000,00",Verkauft,"750.000,00",S21-04-008
8,langfristig vermietetes Wohnheim Krakauer Str. 49 04420 Markranstädt,"1.830.000,00",Verkauft,"1.250.000,00",S21-04-009
9,Eigentumswohnung Nr. 6 Cichoriusstraße 15 04318 Leipzig,"50.000,00",Verkauft,"50.000,00",S21-04-010
10,"Eigentumswohnungspaket Nr. 1, 2, 3, 4 Dresdener Straße 93 09326 Geringswalde","28.000,00",Verkauft,"19.000,00",S21-04-011
11,sanierungsbedürftiges Mehrfamilienhaus Dresdener Straße 91 09326 Geringswalde,"11.500,00",Verkauft,"7.000,00",S21-04-012
12,Werkstatt-/Lagergebäude mit Anbau Reinstedter Straße 4 b 06467 Seeland,"8.000,00",Verkauft,"8.000,00",S21-04-014
13,Wohn- und Geschäftshaus in guter Lage Neugasse 1 und 3 04703 Leisnig,"280.000,00",Verkauft,"280.000,00",S21-04-015
14,2 unmittelbar zusammenliegende sanierte Mehrfamilienhäuser Friedrichstraße 10+14 04720 Döbeln,"430.000,00",Verkauft,"375.000,00",S21-04-016
15,"vier Baugrundstücke für Reihenhäuser An der Nelse 16, 17, 18 und 19 04668 Grimma","80.000,00",Verkauft,"20.000,00",S21-04-017
16,denkmalgeschütztes Wohnhaus Schulstraße 3 04779 Wermsdorf,"62.000,00",Verkauft,"19.000,00",S21-04-018
17,"vermietetes Mehrfamilienhaus mit 2 Hauseingängen Behrunger Weg 3, 4 98631 Grabfeld","435.000,00",Verkauft,"285.000,00",S21-04-019
18,Pension im Thüringer Wald Bergstraße 64 98701 Großbreitenbach,"150.000,00",Verkauft,"150.000,00",S21-04-020
19,"Unbebaute Grundstücke - Ackerland Bahnhofstraße, Flurstück 2211/62 99831 Amt Creuzburg","55.000,00",Verkauft,"55.000,00",S21-04-021
,info,sold_at,status,limit_price,nr
0,Landwirtschaftsfläche Flurstück 208 96515 Sonneberg,"4.500,00",Verkauft,"1.500,00",S21-04-022
1,ehem. Vital Hotel Sitzendorf Badstraße 10 07429 Sitzendorf,"90.000,00",Verkauft,"29.000,00",S21-04-023
2,Mehrfamilienhaus mit Nebengebäude Franz-Schubert-Straße 3 04639 Gößnitz,"11.000,00",Verkauft,"9.000,00",S21-04-024
3,Wohngebäude Pfarrstraße 14 04874 Belgern-Schildau,"7.000,00",Verkauft,"1.000,00",S21-04-025
4,"Grundstücke Hohe Straße, Im Nötschen 07768 Gumperda","2.500,00",Verkauft,"1.000,00",S21-04-026
5,Waldgrundstück Am Parnitzberg 07768 Kahla,"2.000,00",Verkauft,"1.000,00",S21-04-027
6,"Gartengrundstück Sachsendorfer Straße, Flurstück 938 98673 Eisfeld","8.000,00",Verkauft,"2.500,00",S21-04-028
7,ehem. Werkstätten am Dreiangel Am Dreiangel 06366 Köthen (Anhalt),"13.500,00",Verkauft,"500,00",S21-04-029
8,Ladeneinheit im Zentrum Marienplatz 6 07381 Pößneck,"13.000,00",Nachverkauft,"13.000,00",S21-04-030
9,Güterschuppen am EG Bufleben mit Straßenfläche Bahnhof Bufleben 99869 Nessetal,"3.000,00",Verkauft,"1.000,00",S21-04-031
10,Ehem. Bahngrundstücke mit Bahnhofsruine Am Bahndamm 9 98724 Neuhaus am Rennweg,"1.000,00",Verkauft,"1.000,00",S21-04-032
11,"Grundstück mit Garagenhof und Wiesenflächen Ottersteg, 02763 Zittau","164.000,00",Verkauft,"45.000,00",S21-04-033
12,ehemaliges Bahnwärterhaus mit Nebengebäude Alte Dorfstraße 31 01561 Großenhain,"27.000,00",Verkauft,"2.000,00",S21-04-034
13,attraktives Wohn- und Geschäftshaus Brautwiesenstraße 24 02826 Görlitz,"495.000,00",Verkauft,"495.000,00",S21-04-035
14,"denkmalgeschütztes, vollvermietetes Mehrfamilienhaus im Gründerzeitstil Cottbuser Straße 9 02826 Görlitz","435.000,00",Verkauft,"325.000,00",S21-04-036
15,Eigentumswohnung Nr. 4 in den Innenstadt Rosenstraße 15 02625 Bautzen,"66.000,00",Verkauft,"45.000,00",S21-04-037
16,ehem. Bahnobjekt mit hist. Güterschuppen Bahnhofstr./ 02794 Leutersdorf,"15.000,00",Verkauft,"5.000,00",S21-04-038
17,"Landhotel/Gaststätte ""Deutsches Haus"" mit Betreiberwohnung Löbauer Straße 9 02708 Rosenbach","100.000,00",Verkauft,"100.000,00",S21-04-039
18,"Gewerbeobjekt mit Büro-, Lager- und 2 Garagengebäuden John-Schehr-Straße 30 01979 Lauchhammer","99.000,00",Verkauft,"25.000,00",S21-04-040
19,ehemaliges teilsaniertes Verwaltungsgebäude Hauptstraße 150 09661 Rossau,"99.500,00",Verkauft,"99.000,00",S21-04-042
,info,sold_at,status,limit_price,nr
0,Mehrfamilienhaus Friedrichstraße 1 09669 Frankenberg,"49.000,00",Verkauft,"49.000,00",S21-04-043
1,"sanierungsbedürftiger ehemaliger Gasthof ""Erbgericht"" Hauptstraße 21 09526 Olbernhau","16.500,00",Verkauft,"3.000,00",S21-04-044
2,"attraktives, vermietetes Wohn- und Geschäftshaus mit Turmaufbau Lützowstraße 35 09119 Chemnitz","630.000,00",Verkauft,"595.000,00",S21-04-045
3,attraktives Mehrfamilienhaus in guter Lage Podemusstraße 11 01157 Dresden,"1.000.000,00",Nachverkauft,"1.100.000,00",S21-04-046
4,attraktives Wohn- und Geschäftshaus in guter Lage Warthaer Straße 4 01157 Dresden,"750.000,00",Verkauft,"750.000,00",S21-04-047
5,bezugsfreie 4-Zimmer Eigentumswohnung Nr. 12/13 und Bodenraum Nr. 15/16 Pfotenhauer Straße 71 01307 Dresden,"412.000,00",Verkauft,"298.000,00",S21-04-048
6,Tiefgaragenstellplatz Nr. 45 in der Dresdener Neustadt Bautzner Straße 12 01099 Dresden,"16.500,00",Verkauft,"16.000,00",S21-04-049
7,vermieteter Tiefgaragenstellplatz Nr. 142 Carrierastraße 1 -21 01139 Dresden,"4.500,00",Verkauft,"2.500,00",S21-04-050
8,"überwiegend vermietete Tiefgaragenstellplätze Nr. 20, 24, 32, 42 Lessingstraße 01705 Freital","10.500,00",Verkauft,"8.000,00",S21-04-051
9,vermietetes Mehrfamilienhaus mit Parkplätzen Dorfstraße 36 09366 Niederdorf bei Stollberg/Erzgebirge,"250.000,00",Verkauft,"250.000,00",S21-04-053
10,Wohnhaus/Ferienobjekt am Parkplatz der Ski-Arena Lohgasse 1 08309 Eibenstock,"104.000,00",Verkauft,"75.000,00",S21-04-054
